AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
19.0,2.0,19.0,5.0,2850.0,6.0,17.0,2.0,2.0,9.0
24.0,5.0,18.0,5.0,9645.0,13.0,17.0,40.0,1.0,2.0
22.0,1.0,19.0,5.0,1520.0,53.0,17.0,45.0,2.0,1.0
32.0,1.0,16.0,1.0,4055.0,8.0,16.0,40.0,2.0,1.0
19.0,2.0,19.0,5.0,2006.0,34.0,17.0,9.0,2.0,1.0
19.0,1.0,19.0,5.0,2722.0,4.0,17.0,20.0,2.0,2.0
31.0,1.0,19.0,5.0,6260.0,49.0,16.0,45.0,1.0,1.0
18.0,5.0,17.0,5.0,7315.0,1.0,17.0,60.0,1.0,1.0
20.0,1.0,19.0,5.0,5260.0,48.0,17.0,30.0,2.0,1.0
21.0,5.0,19.0,5.0,9825.0,6.0,17.0,40.0,1.0,1.0
37.0,7.0,14.0,4.0,4251.0,8.0,16.0,40.0,1.0,1.0
22.0,1.0,19.0,5.0,4110.0,8.0,17.0,50.0,1.0,1.0
19.0,1.0,19.0,5.0,2545.0,8.0,17.0,32.0,2.0,1.0
44.0,2.0,20.0,5.0,6260.0,35.0,16.0,15.0,1.0,1.0
18.0,1.0,18.0,5.0,4055.0,9.0,17.0,25.0,2.0,1.0
18.0,1.0,19.0,5.0,4120.0,1.0,17.0,10.0,1.0,1.0
18.0,1.0,18.0,5.0,4110.0,51.0,17.0,30.0,1.0,1.0
25.0,5.0,19.0,5.0,9825.0,48.0,17.0,40.0,1.0,1.0
20.0,1.0,19.0,5.0,2300.0,48.0,17.0,4.0,2.0,1.0
26.0,1.0,12.0,1.0,6530.0,8.0,16.0,40.0,1.0,9.0
20.0,1.0,14.0,5.0,4251.0,27.0,16.0,40.0,1.0,1.0
18.0,1.0,18.0,5.0,4350.0,8.0,17.0,20.0,2.0,9.0
31.0,1.0,19.0,5.0,3930.0,31.0,17.0,40.0,1.0,9.0
59.0,1.0,19.0,2.0,7750.0,11.0,17.0,40.0,1.0,1.0
22.0,5.0,16.0,5.0,9825.0,40.0,17.0,72.0,1.0,9.0
19.0,1.0,19.0,5.0,5420.0,207.0,17.0,10.0,2.0,6.0
26.0,5.0,16.0,5.0,9825.0,215.0,17.0,70.0,1.0,9.0
18.0,1.0,14.0,5.0,6355.0,49.0,16.0,40.0,1.0,8.0
19.0,1.0,18.0,5.0,4010.0,6.0,17.0,35.0,1.0,1.0
19.0,5.0,16.0,5.0,7220.0,12.0,17.0,50.0,1.0,1.0
21.0,1.0,19.0,5.0,4110.0,6.0,17.0,20.0,2.0,1.0
39.0,1.0,17.0,5.0,4251.0,8.0,17.0,7.0,1.0,1.0
21.0,5.0,19.0,5.0,9825.0,132.0,17.0,40.0,1.0,1.0
51.0,1.0,12.0,1.0,4220.0,26.0,16.0,40.0,1.0,1.0
19.0,5.0,18.0,5.0,6765.0,51.0,17.0,60.0,1.0,1.0
18.0,4.0,19.0,5.0,2710.0,35.0,17.0,4.0,1.0,1.0
59.0,1.0,19.0,2.0,7750.0,11.0,17.0,40.0,1.0,1.0
37.0,1.0,16.0,1.0,8740.0,8.0,16.0,50.0,1.0,1.0
20.0,4.0,19.0,5.0,230.0,20.0,17.0,30.0,2.0,1.0
40.0,4.0,17.0,3.0,310.0,19.0,17.0,33.0,1.0,1.0
23.0,5.0,18.0,5.0,9825.0,27.0,17.0,72.0,1.0,1.0
21.0,5.0,19.0,5.0,9825.0,48.0,17.0,40.0,2.0,1.0
47.0,1.0,19.0,1.0,1050.0,25.0,17.0,40.0,1.0,1.0
20.0,1.0,19.0,5.0,1108.0,8.0,17.0,20.0,1.0,1.0
21.0,1.0,19.0,5.0,2350.0,126.0,17.0,20.0,1.0,6.0
26.0,1.0,19.0,4.0,220.0,8.0,17.0,55.0,1.0,1.0
52.0,5.0,18.0,5.0,4720.0,19.0,16.0,35.0,1.0,1.0
20.0,1.0,19.0,5.0,410.0,8.0,17.0,40.0,2.0,1.0
19.0,1.0,19.0,5.0,4350.0,8.0,17.0,40.0,1.0,1.0
24.0,4.0,22.0,5.0,440.0,8.0,17.0,40.0,2.0,1.0
20.0,1.0,19.0,5.0,4640.0,47.0,17.0,20.0,2.0,1.0
20.0,5.0,16.0,5.0,9825.0,47.0,16.0,60.0,1.0,1.0
64.0,2.0,20.0,1.0,4760.0,31.0,17.0,40.0,2.0,1.0
19.0,1.0,19.0,5.0,4110.0,55.0,17.0,20.0,2.0,1.0
53.0,1.0,16.0,5.0,4030.0,19.0,17.0,50.0,1.0,1.0
25.0,1.0,19.0,5.0,6260.0,4.0,16.0,40.0,1.0,8.0
18.0,1.0,16.0,5.0,4720.0,8.0,17.0,20.0,2.0,1.0
