AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
19.0,1.0,19.0,5.0,3960.0,31.0,17.0,20.0,2.0,1.0
22.0,4.0,19.0,5.0,4622.0,46.0,17.0,30.0,1.0,1.0
19.0,1.0,19.0,5.0,6260.0,31.0,17.0,40.0,1.0,1.0
50.0,1.0,20.0,4.0,9620.0,31.0,17.0,10.0,1.0,1.0
18.0,1.0,18.0,5.0,3960.0,31.0,17.0,20.0,1.0,1.0
20.0,4.0,19.0,5.0,2350.0,31.0,17.0,12.0,2.0,1.0
21.0,2.0,19.0,5.0,7010.0,31.0,17.0,20.0,2.0,1.0
21.0,1.0,20.0,5.0,4110.0,31.0,17.0,25.0,1.0,1.0
19.0,6.0,18.0,5.0,4600.0,31.0,17.0,20.0,2.0,1.0
19.0,1.0,19.0,5.0,4760.0,19.0,17.0,40.0,1.0,1.0
18.0,1.0,18.0,5.0,4110.0,31.0,17.0,4.0,2.0,1.0
19.0,3.0,18.0,5.0,3960.0,31.0,17.0,20.0,2.0,9.0
18.0,2.0,18.0,5.0,4030.0,20.0,17.0,20.0,2.0,1.0
24.0,1.0,18.0,5.0,6260.0,31.0,16.0,40.0,1.0,1.0
19.0,1.0,18.0,5.0,9620.0,31.0,17.0,32.0,1.0,1.0
20.0,1.0,19.0,5.0,4760.0,31.0,17.0,20.0,1.0,2.0
18.0,1.0,18.0,5.0,4720.0,19.0,17.0,40.0,2.0,1.0
19.0,2.0,19.0,5.0,4600.0,20.0,17.0,20.0,2.0,1.0
45.0,1.0,19.0,3.0,6230.0,25.0,16.0,40.0,1.0,8.0
21.0,4.0,19.0,5.0,230.0,215.0,17.0,18.0,2.0,6.0
18.0,2.0,16.0,5.0,4600.0,31.0,17.0,20.0,2.0,1.0
22.0,1.0,19.0,5.0,1021.0,19.0,17.0,25.0,1.0,1.0
18.0,1.0,18.0,5.0,9645.0,31.0,17.0,30.0,1.0,1.0
19.0,6.0,18.0,5.0,6260.0,31.0,17.0,38.0,1.0,1.0
20.0,6.0,19.0,5.0,845.0,31.0,17.0,5.0,1.0,1.0
20.0,4.0,18.0,5.0,1970.0,31.0,17.0,38.0,1.0,1.0
18.0,7.0,18.0,5.0,4600.0,31.0,17.0,17.0,2.0,2.0
18.0,4.0,19.0,5.0,5400.0,8.0,17.0,15.0,2.0,1.0
32.0,1.0,19.0,5.0,2360.0,31.0,16.0,55.0,1.0,1.0
20.0,2.0,16.0,5.0,1240.0,6.0,17.0,10.0,2.0,8.0
20.0,4.0,19.0,5.0,5400.0,31.0,17.0,10.0,2.0,1.0
25.0,1.0,19.0,5.0,9645.0,31.0,17.0,8.0,1.0,1.0
22.0,1.0,19.0,5.0,3603.0,4.0,17.0,35.0,1.0,1.0
81.0,6.0,16.0,1.0,4700.0,31.0,16.0,50.0,1.0,1.0
23.0,1.0,19.0,5.0,4251.0,46.0,17.0,40.0,1.0,1.0
47.0,1.0,18.0,1.0,9130.0,18.0,16.0,38.0,1.0,1.0
18.0,1.0,16.0,5.0,4110.0,31.0,17.0,20.0,2.0,1.0
21.0,2.0,16.0,5.0,2722.0,142.0,17.0,35.0,1.0,1.0
33.0,1.0,16.0,1.0,4140.0,31.0,16.0,35.0,2.0,1.0
19.0,1.0,19.0,5.0,4020.0,31.0,17.0,18.0,1.0,1.0
21.0,2.0,19.0,5.0,4251.0,31.0,17.0,37.0,1.0,1.0
20.0,4.0,19.0,5.0,2722.0,31.0,17.0,10.0,2.0,1.0
18.0,1.0,18.0,5.0,4760.0,207.0,17.0,25.0,2.0,6.0
21.0,1.0,19.0,5.0,4720.0,31.0,17.0,40.0,2.0,1.0
23.0,1.0,19.0,5.0,4251.0,46.0,17.0,40.0,1.0,1.0
20.0,1.0,19.0,5.0,5740.0,29.0,17.0,30.0,2.0,1.0
18.0,1.0,19.0,5.0,4720.0,48.0,17.0,18.0,2.0,9.0
19.0,2.0,19.0,5.0,5860.0,31.0,17.0,25.0,1.0,1.0
18.0,1.0,18.0,5.0,750.0,6.0,17.0,4.0,2.0,1.0
36.0,1.0,17.0,3.0,4251.0,48.0,17.0,10.0,1.0,1.0
20.0,4.0,19.0,5.0,1970.0,31.0,17.0,38.0,1.0,1.0
36.0,1.0,17.0,3.0,4251.0,48.0,17.0,10.0,1.0,1.0
18.0,1.0,13.0,5.0,4020.0,132.0,16.0,15.0,1.0,1.0
19.0,1.0,16.0,5.0,5350.0,29.0,17.0,20.0,1.0,1.0
19.0,2.0,19.0,5.0,5600.0,40.0,17.0,10.0,2.0,9.0
21.0,4.0,19.0,5.0,230.0,31.0,17.0,22.0,1.0,1.0
21.0,4.0,19.0,5.0,4640.0,31.0,17.0,40.0,1.0,1.0
22.0,2.0,19.0,5.0,51.0,29.0,17.0,20.0,2.0,1.0
21.0,2.0,16.0,5.0,2722.0,142.0,17.0,35.0,1.0,1.0
52.0,1.0,13.0,3.0,8990.0,31.0,17.0,35.0,1.0,1.0
20.0,1.0,19.0,5.0,4110.0,55.0,17.0,20.0,2.0,1.0
21.0,2.0,19.0,5.0,8300.0,416.0,17.0,10.0,1.0,2.0
18.0,1.0,16.0,5.0,4622.0,29.0,17.0,15.0,1.0,1.0
18.0,1.0,18.0,5.0,5240.0,27.0,17.0,20.0,2.0,1.0
19.0,3.0,16.0,5.0,3603.0,31.0,17.0,40.0,2.0,2.0
35.0,1.0,19.0,1.0,4230.0,31.0,16.0,40.0,2.0,1.0
19.0,1.0,16.0,5.0,4720.0,24.0,17.0,25.0,2.0,2.0
20.0,1.0,19.0,5.0,4110.0,55.0,17.0,20.0,2.0,1.0
21.0,1.0,19.0,5.0,1545.0,31.0,17.0,40.0,1.0,1.0
17.0,1.0,19.0,5.0,9645.0,126.0,17.0,20.0,1.0,1.0
20.0,4.0,19.0,5.0,1970.0,132.0,17.0,15.0,1.0,1.0
18.0,4.0,19.0,5.0,5400.0,8.0,17.0,15.0,2.0,1.0
21.0,1.0,13.0,5.0,6240.0,19.0,16.0,30.0,1.0,1.0
57.0,3.0,19.0,3.0,4020.0,37.0,16.0,15.0,1.0,1.0
27.0,4.0,19.0,5.0,8450.0,6.0,16.0,5.0,1.0,1.0
18.0,1.0,18.0,5.0,4030.0,31.0,17.0,10.0,2.0,2.0
29.0,1.0,14.0,5.0,9640.0,29.0,16.0,40.0,1.0,1.0
19.0,6.0,19.0,5.0,4600.0,29.0,17.0,13.0,2.0,1.0
20.0,1.0,19.0,5.0,4055.0,46.0,17.0,26.0,1.0,1.0
